id,carat,cut,color,clarity,depth,table,x,y,z,price
12631,1.0,Premium,H,VS2,59.4,59.0,6.51,6.45,3.86,5557
12632,0.33,Ideal,F,VVS1,60.4,56.0,4.49,4.52,2.72,858
12633,0.51,Ideal,H,SI1,61.1,56.0,5.17,5.2,3.17,1190
12634,2.01,Good,G,SI1,58.1,60.0,8.4,8.27,4.81,18374
12635,0.71,Premium,F,SI1,61.6,59.0,5.74,5.72,3.53,2388
12636,1.5,Very Good,I,SI2,63.1,57.0,7.24,7.29,4.58,7421
12637,1.66,Premium,E,VS2,62.0,57.0,7.6,7.55,4.7,15579
12638,0.72,Ideal,D,VS2,62.6,54.0,5.71,5.74,3.58,3140
12639,0.5,Very Good,F,SI1,62.7,61.0,5.03,5.07,3.16,1197
12640,1.01,Premium,D,VS1,62.5,59.0,6.4,6.44,4.01,7889
12641,0.37,Ideal,E,VS1,61.3,55.0,4.68,4.62,2.85,999
12642,0.3,Very Good,D,VS1,62.6,57.0,4.24,4.27,2.66,732
12643,1.17,Ideal,H,SI1,61.7,55.0,6.8,6.75,4.18,4914
12644,0.74,Ideal,D,VS2,62.8,55.0,5.76,5.79,3.62,3442
12645,1.51,Ideal,I,SI1,61.6,57.0,7.36,7.4,4.53,8774
12646,0.71,Very Good,H,SI2,59.0,59.0,5.86,5.84,3.44,2394
12647,1.53,Ideal,F,VS2,62.7,57.0,7.3,7.32,4.58,13333
12648,1.51,Very Good,E,VS2,62.5,58.0,7.23,7.34,4.55,13899
12649,0.32,Ideal,G,VVS2,62.5,54.0,4.4,4.41,2.75,730
12650,0.41,Ideal,G,IF,62.0,55.0,4.81,4.78,2.98,1279
12651,0.42,Ideal,F,VVS1,62.6,56.0,4.8,4.83,3.01,1363
12652,0.41,Ideal,F,VS1,61.6,56.0,4.79,4.76,2.94,1063
12653,0.41,Premium,E,VS1,61.1,60.0,4.82,4.78,2.93,1073
12654,0.29,Premium,H,VVS1,61.5,58.0,4.32,4.28,2.64,592
12655,1.21,Ideal,G,VS2,61.9,56.0,6.84,6.79,4.22,8587
12656,0.56,Ideal,F,VVS2,61.2,56.0,5.32,5.36,3.27,2331
12657,1.01,Ideal,G,VS2,61.0,57.0,6.51,6.46,3.95,6045
12658,0.9,Good,F,SI1,63.8,56.0,6.0,6.11,3.87,3732
12659,1.01,Premium,G,VVS2,62.5,58.0,6.34,6.36,3.97,6966
12660,0.57,Very Good,E,VS2,61.6,56.0,5.34,5.38,3.3,2003
12661,0.3,Ideal,D,VS2,62.6,57.0,4.29,4.32,2.69,710
12662,1.01,Good,E,SI2,63.6,60.0,6.3,6.33,4.01,3903
12663,0.31,Ideal,H,VVS2,61.2,57.0,4.33,4.36,2.66,625
12664,0.41,Ideal,E,VVS2,61.8,56.0,4.79,4.83,2.97,1187
12665,0.74,Ideal,F,VS2,60.6,57.0,5.85,5.89,3.55,3119
12666,0.33,Ideal,E,VS2,62.1,55.0,4.4,4.44,2.75,723
12667,1.52,Very Good,I,VS2,60.2,59.0,7.41,7.45,4.48,9377
12668,0.94,Premium,F,SI2,62.4,60.0,6.32,6.26,3.91,3546
12669,1.08,Premium,F,SI2,60.9,60.0,6.52,6.59,3.99,4340
12670,0.42,Ideal,E,VS1,61.5,55.0,4.83,4.86,2.98,1000
12671,0.7,Very Good,H,VS2,62.8,57.0,5.63,5.67,3.55,2163
12672,0.31,Ideal,F,VS2,61.0,56.0,4.37,4.39,2.67,876
12673,1.02,Premium,H,SI1,61.3,59.0,6.46,6.42,3.95,4766
12674,1.3,Ideal,F,SI1,62.6,57.0,7.02,6.96,4.38,8062
12675,1.01,Premium,H,VS2,62.4,58.0,6.48,6.41,4.02,5433
12676,1.01,Very Good,D,SI2,63.7,58.0,6.31,6.34,4.03,4108
12677,0.9,Premium,G,SI1,61.7,58.0,6.26,6.21,3.84,3572
12678,0.4,Premium,D,VS1,60.2,60.0,4.75,4.72,2.85,1030
12679,0.7,Very Good,E,VS1,62.4,58.0,5.68,5.64,3.54,3199
12680,0.51,Ideal,D,SI1,62.6,57.0,5.1,5.14,3.2,1230
12681,0.24,Very Good,F,VVS2,61.0,60.0,4.02,4.03,2.45,605
12682,0.4,Premium,E,VS2,62.4,59.0,4.7,4.67,2.92,912
12683,0.52,Ideal,G,VS1,61.0,55.0,5.18,5.22,3.18,1582
12684,1.2,Ideal,E,VS1,62.8,57.0,6.81,6.78,4.27,10602
12685,0.41,Ideal,H,SI1,61.9,55.0,4.81,4.77,2.96,876
12686,0.4,Ideal,G,SI1,62.9,57.0,4.69,4.73,2.96,716
12687,1.01,Premium,G,VVS1,59.1,61.0,6.54,6.51,3.86,8281
12688,0.72,Ideal,J,VS2,60.8,55.0,5.79,5.82,3.52,2156
12689,0.41,Ideal,F,VVS2,60.9,56.0,4.8,4.85,2.93,1192
12690,0.96,Premium,E,SI2,62.3,59.0,6.25,6.29,3.91,3342
12691,0.51,Good,E,VS2,63.9,54.0,5.09,5.02,3.24,1437
12692,0.75,Premium,I,SI1,59.5,60.0,5.98,5.94,3.54,2048
12693,1.01,Very Good,G,VS1,62.8,59.0,6.36,6.38,4.0,6546
12694,2.03,Ideal,I,VS2,61.4,57.0,8.09,8.14,4.98,16779
12695,0.31,Ideal,G,VVS2,61.2,56.0,4.38,4.42,2.69,679
12696,1.01,Good,G,VS1,63.6,57.0,6.32,6.35,4.03,6623
12697,0.32,Ideal,E,VS2,61.4,57.0,4.4,4.43,2.71,900
12698,0.76,Ideal,I,VS1,61.5,55.0,5.89,5.91,3.62,2961
12699,1.7,Very Good,H,VS2,59.8,60.0,7.78,7.73,4.63,11081
12700,0.34,Ideal,E,SI1,61.3,57.0,4.53,4.51,2.76,722
12701,1.18,Ideal,D,SI1,62.0,57.0,6.73,6.79,4.19,7066
12702,1.0,Premium,F,SI2,61.6,60.0,6.4,6.34,3.93,3763
12703,0.31,Ideal,G,SI1,61.9,54.0,4.35,4.38,2.71,486
12704,0.31,Ideal,H,VVS1,61.7,56.0,4.32,4.34,2.67,707
12705,1.0,Premium,G,VS2,61.9,58.0,6.4,6.35,3.94,6048
12706,0.51,Ideal,E,VS2,61.5,56.0,5.13,5.16,3.16,1832
12707,0.32,Ideal,D,SI1,61.9,56.0,4.34,4.38,2.7,589
12708,0.3,Ideal,I,VVS1,60.4,58.0,4.34,4.37,2.63,552
12709,0.52,Very Good,E,SI1,63.1,59.0,5.12,5.07,3.21,1316
12710,0.32,Ideal,H,VS1,61.3,56.0,4.41,4.44,2.71,720
12711,0.7,Ideal,E,SI2,62.2,55.0,5.71,5.67,3.54,2513
12712,0.32,Very Good,F,VS2,62.8,58.0,4.32,4.35,2.73,645
12713,0.3,Ideal,E,VS2,62.0,56.0,4.33,4.31,2.68,844
12714,0.7,Good,D,SI1,62.6,62.0,5.63,5.69,3.54,2353
12715,1.01,Very Good,G,VS2,63.3,54.0,6.36,6.38,4.03,6309
12716,0.37,Ideal,F,SI1,61.0,57.0,4.61,4.64,2.82,647
12717,0.32,Ideal,E,VVS2,61.8,56.0,4.37,4.41,2.72,842
12718,0.3,Ideal,G,VVS1,60.7,56.0,4.36,4.39,2.66,814
12719,0.31,Ideal,H,SI1,62.6,54.0,4.29,4.33,2.7,572
12720,0.9,Fair,G,VS2,60.8,66.0,5.89,5.96,3.63,2766
12721,0.54,Ideal,D,VS1,62.6,58.0,5.18,5.21,3.25,1847
12722,1.2,Very Good,J,SI1,62.9,57.0,6.75,6.82,4.26,5140
12723,0.23,Very Good,E,VVS1,62.3,59.0,3.9,3.93,2.44,478
12724,0.73,Ideal,E,SI1,60.9,56.0,5.81,5.89,3.56,2329
12725,0.53,Premium,F,VS2,61.1,58.0,5.22,5.2,3.19,1654
12726,0.34,Premium,E,SI2,61.2,59.0,4.48,4.44,2.73,376
12727,0.92,Premium,H,SI2,60.1,60.0,6.38,6.35,3.82,3417
12728,0.46,Ideal,D,VS1,62.3,55.0,4.93,4.89,3.07,1294
12729,0.34,Premium,E,SI1,61.9,58.0,4.49,4.45,2.76,765
12730,0.33,Ideal,I,IF,62.1,55.0,4.45,4.43,2.76,863
12731,1.51,Very Good,I,SI1,62.2,59.0,7.32,7.38,4.56,8442
12732,1.14,Very Good,G,SI1,61.4,58.0,6.72,6.67,4.12,5294
12733,0.6,Ideal,D,SI1,61.2,55.0,5.43,5.45,3.33,2018
12734,0.52,Ideal,D,VS2,61.1,56.0,5.2,5.2,3.17,1822
12735,0.74,Ideal,G,SI2,60.2,57.0,5.88,5.92,3.55,3089
12736,1.03,Ideal,D,SI1,61.5,57.0,6.52,6.49,4.0,5543
12737,1.0,Premium,I,VS1,62.7,53.0,6.29,6.36,3.97,3656
12738,1.02,Premium,E,SI1,62.6,58.0,6.46,6.42,4.03,6133
12739,2.03,Very Good,H,SI1,60.5,59.0,8.24,8.2,4.96,18001
12740,1.22,Ideal,H,SI1,62.1,57.0,6.85,6.81,4.24,6894
12741,1.54,Ideal,I,SI1,61.9,55.0,7.35,7.42,4.57,8928
12742,0.72,Premium,F,VS1,59.5,58.0,5.81,5.84,3.47,2756
12743,1.63,Ideal,H,VS2,60.9,57.0,7.55,7.57,4.6,12305
12744,0.72,Ideal,F,SI1,61.3,57.0,5.75,5.78,3.53,3007
12745,0.27,Very Good,E,VVS1,60.7,57.0,4.18,4.2,2.55,586
12746,0.33,Premium,E,VS1,60.1,59.0,4.49,4.48,2.69,1002
12747,0.87,Ideal,G,SI1,61.8,56.0,6.16,6.14,3.8,3936
12748,0.88,Very Good,E,SI2,63.4,56.0,6.08,6.04,3.83,2984
12749,0.71,Premium,D,SI2,60.4,60.0,5.73,5.79,3.48,2516
12750,1.01,Fair,F,SI1,64.5,60.0,6.28,6.24,4.04,4481
12751,0.5,Premium,E,SI1,59.7,58.0,5.18,5.19,3.1,1654
12752,1.01,Good,F,SI2,62.6,60.0,6.31,6.39,3.98,4257
12753,1.02,Ideal,F,SI2,62.9,57.0,6.42,6.44,4.04,4604
12754,0.52,Very Good,G,VVS2,62.9,58.0,5.13,5.16,3.23,1840
12755,0.5,Good,D,SI2,64.0,58.0,5.03,5.03,3.21,1089
12756,0.32,Premium,G,VS2,60.8,59.0,4.44,4.41,2.69,672
12757,0.41,Ideal,E,VS2,61.5,56.0,4.78,4.82,2.96,912
12758,2.08,Ideal,G,SI2,61.0,57.0,8.27,8.23,5.03,16316
12759,0.9,Premium,H,VS2,62.5,59.0,6.18,6.13,3.85,3923
12760,0.29,Very Good,G,VVS2,61.9,56.0,4.33,4.34,2.68,607
12761,1.23,Premium,G,SI1,60.5,60.0,6.96,6.9,4.2,6441
12762,0.3,Ideal,F,VVS1,62.1,53.0,4.33,4.37,2.7,814
12763,1.19,Premium,I,VS2,62.2,58.0,6.78,6.76,4.22,6213
12764,0.72,Very Good,G,SI2,62.6,59.0,5.67,5.71,3.56,2041
12765,0.7,Premium,F,VS2,58.3,59.0,5.95,5.89,3.42,2351
12766,1.1,Ideal,F,I1,62.1,56.0,6.67,6.58,4.12,3746
12767,1.52,Premium,E,SI1,60.4,58.0,7.52,7.46,4.53,10113
12768,1.19,Ideal,G,VS2,62.7,57.0,6.76,6.72,4.22,7741
12769,0.72,Very Good,J,SI2,63.2,57.0,5.68,5.75,3.62,1939
12770,0.5,Very Good,F,SI1,59.7,61.0,5.15,5.2,3.07,1027
12771,1.5,Ideal,I,VS1,62.9,57.0,7.2,7.32,4.57,8701
12772,0.4,Ideal,H,VVS1,62.1,56.0,4.72,4.74,2.94,1049
12773,0.4,Ideal,D,SI1,62.1,54.0,4.78,4.72,2.95,990
12774,1.34,Ideal,H,VVS1,61.9,56.0,7.04,7.11,4.38,11168
12775,0.41,Ideal,G,VVS2,61.2,56.0,4.79,4.84,2.95,1129
12776,0.9,Premium,G,SI2,63.0,60.0,6.07,6.13,3.84,3593
12777,0.7,Very Good,J,SI1,63.2,61.0,5.59,5.62,3.54,1844
12778,1.04,Very Good,I,VS2,63.1,58.0,6.42,6.33,4.02,4515
12779,0.7,Very Good,I,VS1,61.1,59.0,5.63,5.67,3.47,2188
12780,0.31,Good,D,SI2,64.3,58.0,4.32,4.28,2.76,459
12781,2.02,Ideal,J,VS1,60.3,57.0,8.2,8.27,4.95,16842
12782,1.03,Ideal,F,SI2,60.5,56.0,6.6,6.57,3.98,4504
12783,1.02,Premium,G,SI2,61.5,59.0,6.49,6.45,3.98,4155
12784,0.72,Ideal,E,VS1,62.3,54.0,5.74,5.77,3.58,2941
12785,0.38,Ideal,G,VS1,61.0,56.0,4.7,4.66,2.86,1069
12786,0.3,Ideal,F,VS1,61.7,57.0,4.3,4.32,2.66,658
12787,0.41,Good,E,SI1,63.1,57.0,4.76,4.78,3.01,705
12788,0.9,Premium,F,SI1,60.7,58.0,6.21,6.17,3.76,3800
12789,2.07,Premium,J,SI1,62.4,58.0,8.13,8.1,5.07,11869
12790,0.56,Ideal,E,VS2,60.8,56.0,5.31,5.35,3.25,2167
12791,0.53,Ideal,D,VS1,62.5,55.0,5.19,5.16,3.24,1607
12792,0.23,Very Good,F,VVS2,61.9,57.0,3.91,3.94,2.43,533
12793,0.9,Good,E,SI2,63.7,62.0,6.02,6.06,3.85,3838
12794,1.51,Very Good,H,SI1,62.1,56.0,7.27,7.3,4.52,9596
12795,1.51,Very Good,I,VS2,60.4,59.0,7.38,7.43,4.46,10051
12796,1.5,Ideal,E,SI1,62.0,55.0,7.31,7.37,4.56,11491
12797,0.77,Very Good,D,VS2,60.3,61.0,5.9,5.96,3.57,3462
12798,0.33,Ideal,E,VVS2,62.1,56.0,4.47,4.44,2.77,992
12799,0.3,Ideal,G,VS1,61.2,56.0,4.35,4.33,2.66,657
12800,1.02,Very Good,F,I1,63.1,57.0,6.39,6.51,4.07,3667
12801,0.33,Ideal,D,SI1,61.9,56.0,4.44,4.46,2.75,663
12802,0.32,Ideal,G,VS1,61.9,55.0,4.42,4.46,2.74,828
12803,0.52,Very Good,G,VS1,62.8,59.0,5.07,5.1,3.2,1668
12804,0.24,Very Good,E,VVS1,63.6,55.0,3.96,4.0,2.53,485
12805,2.22,Ideal,I,SI1,61.4,57.0,8.41,8.37,5.15,15335
12806,1.01,Ideal,J,SI2,62.6,54.0,6.47,6.45,4.02,3763
12807,1.01,Very Good,D,VS1,61.6,60.0,6.36,6.45,3.94,7066
12808,0.74,Ideal,D,VS2,60.6,57.0,5.85,5.88,3.56,3010
12809,2.0,Premium,F,SI2,58.2,59.0,8.28,8.19,4.8,15941
12810,0.7,Ideal,F,SI1,62.2,57.0,5.68,5.72,3.54,2403
12811,1.17,Ideal,D,SI1,62.8,53.0,6.68,6.72,4.21,6330
12812,0.31,Premium,I,SI1,61.9,60.0,4.33,4.29,2.67,427
12813,1.75,Ideal,G,SI2,62.0,57.0,7.74,7.68,4.79,12406
12814,0.32,Ideal,F,VVS2,60.8,56.0,4.42,4.39,2.68,945
12815,1.01,Premium,D,VS2,59.1,59.0,6.53,6.57,3.88,7666
12816,0.51,Ideal,G,VS1,61.7,56.0,5.15,5.18,3.18,1721
12817,0.4,Ideal,E,VS1,61.6,55.0,4.72,4.76,2.92,967
12818,0.72,Very Good,G,VS1,62.4,56.0,5.74,5.76,3.58,2522
12819,2.06,Premium,F,SI2,59.1,61.0,8.39,8.36,4.94,16937
12820,0.56,Ideal,D,SI1,61.2,55.0,5.33,5.37,3.27,1912
12821,2.19,Ideal,H,SI2,62.6,55.0,8.25,8.23,5.13,11226
12822,1.5,Very Good,E,VS2,62.2,59.0,7.27,7.3,4.53,14639
12823,0.91,Premium,D,SI2,62.7,60.0,6.15,6.14,3.85,3892
12824,0.4,Ideal,D,SI1,60.3,56.0,4.78,4.8,2.89,691
12825,0.54,Ideal,H,VS1,62.4,55.0,5.2,5.19,3.25,1738
12826,2.14,Premium,E,SI2,62.2,58.0,8.29,8.23,5.14,11156
12827,1.13,Ideal,G,VS2,61.1,57.0,6.77,6.74,4.12,7744
12828,0.37,Ideal,E,VS1,61.3,56.0,4.64,4.61,2.82,1004
12829,0.6,Ideal,D,VS2,60.1,57.0,5.54,5.48,3.32,2381
12830,1.21,Good,G,VVS2,63.8,58.0,6.84,6.76,4.35,8442
12831,1.01,Good,E,VS2,63.5,60.0,6.32,6.35,4.02,6272
12832,1.55,Ideal,I,SI1,62.4,57.0,7.35,7.31,4.58,9271
12833,1.17,Ideal,G,VVS1,61.2,56.0,6.77,6.82,4.16,10446
12834,0.5,Ideal,G,VS1,62.0,55.0,5.08,5.11,3.16,1665
12835,0.31,Ideal,G,VVS1,61.1,56.0,4.38,4.35,2.67,1046
12836,0.4,Premium,E,SI1,62.6,58.0,4.71,4.68,2.94,911
12837,0.41,Ideal,G,SI2,62.1,57.0,4.76,4.78,2.96,650
12838,0.38,Ideal,H,VS2,61.9,57.0,4.62,4.66,2.87,700
12839,0.27,Ideal,I,VS1,62.2,55.0,4.19,4.21,2.61,432
12840,0.32,Premium,H,VVS1,61.2,59.0,4.41,4.45,2.71,730
12841,1.0,Premium,D,VS1,61.9,60.0,6.37,6.33,3.93,7910
12842,1.51,Very Good,H,VS2,60.6,57.0,7.45,7.41,4.5,11161
12843,1.57,Ideal,I,SI1,61.8,57.0,7.47,7.45,4.61,8879
12844,0.31,Ideal,G,SI2,61.9,56.0,4.34,4.38,2.7,408
12845,1.11,Ideal,F,VS2,61.2,56.0,6.66,6.7,4.08,7695
12846,1.5,Ideal,G,VVS2,62.2,53.0,7.33,7.38,4.58,14790
12847,1.02,Premium,D,SI2,59.4,59.0,6.55,6.58,3.89,4390
12848,0.27,Ideal,E,VS2,61.6,56.0,4.16,4.19,2.57,575
12849,1.01,Very Good,F,SI1,63.1,58.0,6.34,6.28,3.99,5222
12850,0.54,Ideal,G,SI1,61.6,56.0,5.23,5.27,3.23,1353
12851,0.31,Ideal,F,SI1,61.3,55.0,4.39,4.43,2.69,537
12852,2.0,Premium,F,SI2,61.4,59.0,8.13,8.03,4.95,15254
12853,2.03,Ideal,I,VS1,60.7,57.0,8.21,8.26,4.99,17019
12854,0.39,Ideal,H,VVS2,61.9,55.0,4.68,4.74,2.92,810
12855,0.31,Ideal,E,VS1,61.0,57.0,4.39,4.42,2.68,792
12856,2.06,Premium,J,VS1,60.4,59.0,8.3,8.26,4.98,13298
12857,0.32,Good,F,VVS2,60.8,64.0,4.37,4.33,2.65,936
12858,0.59,Ideal,I,VS2,62.2,56.0,5.36,5.39,3.34,1346
12859,1.07,Ideal,G,VS2,62.1,56.0,6.59,6.56,4.08,7177
12860,1.83,Premium,G,SI1,61.9,58.0,7.84,7.8,4.82,16187
12861,0.91,Very Good,D,VS2,63.5,61.0,6.1,6.04,3.85,3538
12862,1.17,Ideal,F,VVS1,61.9,54.0,6.75,6.78,4.19,8861
12863,0.5,Ideal,D,VS2,62.0,55.0,5.08,5.13,3.16,1706
12864,0.3,Ideal,G,IF,61.1,55.0,4.33,4.35,2.65,863
12865,0.42,Ideal,G,VS1,61.3,56.0,4.8,4.82,2.95,953
12866,0.4,Ideal,E,SI1,62.0,55.0,4.74,4.77,2.95,754
12867,1.02,Ideal,I,SI1,62.4,54.0,6.43,6.46,4.02,4782
12868,0.7,Ideal,F,VS1,62.6,54.0,5.63,5.67,3.54,3007
12869,0.41,Ideal,G,VS2,62.6,56.0,4.74,4.8,2.98,847
12870,0.27,Very Good,D,VVS2,61.9,57.0,4.1,4.14,2.54,620
12871,0.3,Premium,E,VS2,60.6,58.0,4.29,4.31,2.6,603
12872,1.31,Ideal,I,SI1,62.9,58.0,6.99,6.93,4.38,6471
12873,0.75,Premium,D,SI1,59.9,59.0,5.93,5.86,3.53,2896
12874,0.57,Ideal,F,VS2,60.3,56.0,5.37,5.43,3.28,1569
12875,0.79,Ideal,H,VS1,62.5,57.0,5.97,5.92,3.71,3368
12876,1.29,Premium,J,SI2,59.6,60.0,7.03,6.99,4.18,4543
12877,1.23,Premium,H,SI1,61.6,58.0,6.84,6.81,4.2,6383
12878,0.31,Ideal,I,SI1,60.7,56.0,4.34,4.37,2.64,434
12879,0.32,Ideal,D,VS2,62.4,57.0,4.36,4.39,2.73,758
12880,2.13,Ideal,I,SI1,62.7,56.0,8.23,8.16,5.13,17273
12881,1.54,Ideal,F,SI1,62.8,57.0,7.32,7.37,4.61,12244
12882,0.51,Ideal,I,VVS2,61.5,57.0,5.11,5.15,3.15,1385
12883,1.01,Very Good,J,SI2,62.9,54.0,6.35,6.38,4.01,3756
12884,0.33,Premium,G,VVS2,60.6,60.0,4.47,4.44,2.7,965
12885,0.32,Premium,F,VS2,61.3,61.0,4.38,4.35,2.68,645
12886,1.02,Very Good,F,SI1,62.1,60.0,6.37,6.41,3.97,4974
12887,0.31,Ideal,J,VS1,62.2,54.0,4.35,4.39,2.72,393
12888,0.32,Ideal,F,VS2,61.1,56.0,4.4,4.44,2.7,828
12889,0.9,Good,D,SI2,58.2,61.0,6.33,6.4,3.7,4435
12890,1.03,Ideal,D,SI1,61.0,54.0,6.55,6.58,4.02,5581
12891,1.22,Very Good,E,VS1,62.0,58.0,6.82,6.86,4.25,10478
12892,0.29,Very Good,F,VS1,62.4,58.0,4.23,4.28,2.65,504
12893,1.01,Premium,I,SI1,61.1,60.0,6.47,6.38,3.93,3931
12894,0.59,Ideal,E,SI2,61.6,56.0,5.39,5.42,3.33,1318
12895,0.36,Ideal,E,VS2,61.3,54.0,4.61,4.64,2.83,726
12896,1.15,Ideal,F,VS2,62.2,55.0,6.75,6.7,4.18,8090
12897,0.76,Ideal,E,VS2,62.0,56.0,5.84,5.81,3.61,2993
12898,1.01,Ideal,H,SI1,62.2,55.0,6.44,6.4,4.0,5387
12899,0.7,Ideal,F,SI2,61.1,57.0,5.73,5.79,3.51,2340
12900,2.02,Good,J,SI1,63.5,62.0,7.84,7.88,5.03,11189
12901,0.75,Ideal,G,VS1,60.9,56.0,5.9,5.86,3.58,2921
12902,1.0,Very Good,G,SI2,62.9,56.0,6.33,6.4,4.01,4368
12903,1.01,Good,H,SI1,63.7,56.0,6.34,6.28,4.01,4616
12904,0.76,Ideal,E,SI1,61.3,57.0,5.87,5.94,3.62,3329
12905,0.41,Premium,G,VS2,62.7,60.0,4.7,4.73,2.96,847
12906,0.33,Premium,G,VVS2,61.2,58.0,4.5,4.47,2.74,818
12907,1.56,Ideal,I,SI2,62.1,56.0,7.44,7.47,4.63,9292
12908,0.41,Premium,G,VS2,60.6,59.0,4.82,4.79,2.91,1061
12909,0.31,Premium,G,VS2,61.2,59.0,4.33,4.3,2.64,698
12910,1.01,Premium,E,SI1,63.0,58.0,6.41,6.37,4.02,5765
12911,1.0,Very Good,F,SI2,63.5,57.0,6.3,6.36,4.02,4036
12912,0.4,Ideal,E,SI1,62.3,56.0,4.74,4.73,2.95,945
12913,1.26,Premium,I,VS2,62.5,59.0,6.97,6.89,4.31,6773
12914,0.41,Ideal,G,IF,62.8,55.0,4.72,4.74,2.97,1267
12915,0.42,Ideal,E,VS2,61.7,55.0,4.8,4.83,2.97,902
12916,2.01,Ideal,I,VS2,61.9,57.0,8.11,8.05,5.01,16854
12917,2.0,Premium,E,SI2,62.1,56.0,8.09,7.99,5.03,12725
12918,0.8,Ideal,H,SI2,62.4,55.0,5.88,5.95,3.7,2387
12919,0.54,Good,E,SI1,63.7,55.0,5.21,5.16,3.3,1438
12920,1.32,Very Good,I,SI2,62.7,56.0,6.97,6.94,4.37,6460
12921,0.9,Good,F,VS2,63.4,58.0,6.02,6.09,3.83,4268
12922,1.01,Premium,G,VVS1,62.9,58.0,6.34,6.36,4.0,7055
12923,2.01,Ideal,H,SI1,62.0,55.0,8.06,8.15,5.01,17803
12924,0.84,Ideal,F,SI1,61.6,56.0,6.05,6.08,3.73,3045
12925,0.3,Ideal,E,VS2,61.9,56.0,4.31,4.33,2.67,644
12926,2.0,Premium,J,SI1,61.5,58.0,8.08,8.02,4.97,12493
12927,0.31,Ideal,H,IF,62.3,57.0,4.38,4.36,2.72,964
12928,0.35,Very Good,E,SI1,62.1,59.0,4.52,4.55,2.81,596
12929,0.71,Very Good,E,SI2,62.8,59.0,5.68,5.71,3.58,2079
12930,0.39,Ideal,G,VS2,61.9,55.0,4.71,4.74,2.92,1061
12931,0.7,Very Good,E,VS1,63.5,56.0,5.6,5.63,3.56,3145
12932,0.4,Premium,F,VVS2,60.7,59.0,4.71,4.74,2.87,1163
12933,1.0,Good,G,SI2,64.2,58.0,6.28,6.23,4.02,3774
12934,0.9,Ideal,G,SI1,60.0,55.0,6.23,6.21,3.73,3990
12935,0.31,Very Good,G,SI1,61.9,55.0,4.32,4.35,2.68,523
12936,0.33,Ideal,F,VS2,62.0,55.0,4.46,4.48,2.77,666
12937,0.3,Ideal,F,VS1,61.6,56.0,4.3,4.34,2.66,731
12938,0.3,Ideal,D,SI1,62.1,56.0,4.28,4.33,2.67,619
12939,1.04,Premium,E,SI1,61.8,58.0,6.47,6.51,4.01,5335
12940,0.33,Ideal,G,VVS1,61.3,56.0,4.47,4.44,2.73,1040
12941,0.28,Ideal,F,VVS2,62.0,56.0,4.21,4.19,2.61,597
12942,1.5,Ideal,E,SI1,61.9,57.0,7.38,7.33,4.55,12255
12943,1.01,Fair,F,SI1,64.7,59.0,6.3,6.22,4.05,4989
12944,0.74,Ideal,G,SI1,62.4,57.0,5.8,5.77,3.61,3012
12945,1.54,Ideal,I,VS1,62.6,57.0,7.37,7.32,4.59,11511
12946,0.64,Ideal,D,VS2,61.4,57.0,5.57,5.53,3.4,2007
12947,0.5,Premium,D,VS2,61.1,59.0,5.14,5.09,3.13,1641
12948,0.41,Ideal,F,VS2,61.4,56.0,4.79,4.82,2.95,969
12949,1.01,Very Good,G,SI2,62.0,56.0,6.41,6.39,3.97,4733
12950,0.41,Very Good,G,SI1,63.1,57.0,4.72,4.75,2.99,754
12951,0.63,Premium,F,VS1,62.0,58.0,5.51,5.44,3.39,2241
12952,1.5,Premium,H,VS1,62.8,58.0,7.28,7.28,4.58,8644
12953,0.71,Ideal,G,SI1,61.4,56.0,5.73,5.76,3.53,2479
12954,1.01,Premium,H,VS2,61.9,58.0,6.42,6.37,3.96,5001
12955,0.41,Ideal,F,IF,60.7,56.0,4.85,4.82,2.93,1367
12956,1.51,Premium,I,SI1,59.5,61.0,7.44,7.38,4.43,7708
12957,0.51,Ideal,G,VVS2,62.2,56.0,5.09,5.12,3.18,1866
12958,1.14,Premium,I,SI1,62.4,60.0,6.66,6.61,4.16,4717
12959,1.51,Premium,E,VS2,61.5,58.0,7.33,7.39,4.54,14247
12960,0.9,Very Good,I,SI1,63.2,60.0,5.98,6.04,3.81,2795
12961,0.72,Ideal,F,SI1,61.8,56.0,5.77,5.79,3.57,2824
12962,0.41,Ideal,E,VS1,62.0,55.0,4.77,4.79,2.97,1079
12963,0.95,Very Good,F,SI1,60.2,60.0,6.35,6.37,3.82,4315
12964,1.35,Ideal,H,VS1,62.3,54.0,7.02,7.05,4.41,9116
12965,0.44,Premium,F,VS1,60.8,58.0,4.93,4.89,2.99,1031
12966,0.72,Ideal,F,VS2,61.7,55.0,5.74,5.79,3.56,3416
12967,0.72,Premium,G,SI1,59.8,62.0,5.83,5.79,3.47,2415
12968,0.71,Premium,F,SI1,62.2,58.0,5.79,5.73,3.58,2381
12969,1.03,Ideal,I,SI1,62.0,56.0,6.43,6.46,3.99,4591
12970,0.41,Ideal,D,SI1,61.8,55.0,4.79,4.77,2.96,806
12971,1.01,Very Good,D,SI2,60.2,57.0,6.49,6.54,3.92,5072
12972,0.31,Premium,D,VS2,62.8,58.0,4.31,4.34,2.72,942
12973,0.7,Very Good,I,SI2,61.3,55.0,5.67,5.74,3.5,1244
12974,0.41,Ideal,F,VS1,62.0,56.0,4.74,4.77,2.95,1008
12975,1.24,Premium,H,SI2,62.0,55.0,6.94,6.88,4.29,5486
